begin,end
1,1
2,6
7,8
9,13
14,23
24,26
27,49
50,55
56,69
70,76
77,83
84,91
92,103
104,108
109,112
113,134
135,137
138,139
140,140
141,150
151,162
163,169
170,178
179,184
185,188
189,190
191,192
193,194
195,199
200,206
207,213
214,214
215,225
226,227
228,232
233,236
237,245
246,253
254,261
262,265
266,271
272,284
285,292
293,310
311,313
314,315
316,322
323,331
332,332
333,344
345,346
347,352
353,357
358,362
363,371
372,378
379,385
386,393
394,407
408,411
412,424
425,432
433,437
438,440
441,441
442,444
445,448
449,461
462,469
470,471
472,473
